access_number,symbol,cik,form,filed_date,accepted_date,report_url,filing_url,period_date
0001104659-10-002184,,809013,497,2010-01-20 00:00:00,2010-01-20 10:51:57,https://www.sec.gov/Archives/edgar/data/809013/000110465910002184/a10-1776_1497.htm,https://www.sec.gov/Archives/edgar/data/809013/000110465910002184/0001104659-10-002184-index.html,
0000940394-10-000214,,745463,497K,2010-02-26 00:00:00,2010-02-26 14:16:32,https://www.sec.gov/Archives/edgar/data/745463/000094039410000214/frafsp.htm,https://www.sec.gov/Archives/edgar/data/745463/000094039410000214/0000940394-10-000214-index.html,
0001209191-10-015433,,1051400,4,2010-03-09 00:00:00,2010-03-09 10:00:02,https://www.sec.gov/Archives/edgar/data/1051400/000120919110015433/doc4.xml,https://www.sec.gov/Archives/edgar/data/1051400/000120919110015433/0001209191-10-015433-index.html,2010-03-05 00:00:00
0000932471-10-000865,,102909,SC 13G/A,2010-02-04 00:00:00,2010-02-04 16:08:09,https://www.sec.gov/Archives/edgar/data/102909/000093247110000865/aksteelholding.htm,https://www.sec.gov/Archives/edgar/data/102909/000093247110000865/0000932471-10-000865-index.html,
0000950123-10-008561,,1037962,6-K,2010-02-04 00:00:00,2010-02-04 09:19:27,https://www.sec.gov/Archives/edgar/data/1037962/000095012310008561/y03213e6vk.htm,https://www.sec.gov/Archives/edgar/data/1037962/000095012310008561/0000950123-10-008561-index.html,2010-02-04 00:00:00
0001225208-10-008674,,1355532,4,2010-03-19 00:00:00,2010-03-19 18:04:34,https://www.sec.gov/Archives/edgar/data/1355532/000122520810008674/doc4.xml,https://www.sec.gov/Archives/edgar/data/1355532/000122520810008674/0001225208-10-008674-index.html,2010-03-17 00:00:00
0001144204-10-016002,,1422199,3,2010-03-26 00:00:00,2010-03-26 16:34:27,https://www.sec.gov/Archives/edgar/data/1422199/000114420410016002/v178813_ex.xml,https://www.sec.gov/Archives/edgar/data/1422199/000114420410016002/0001144204-10-016002-index.html,2008-10-08 00:00:00
0001299933-10-000952,PEP,77476,8-K,2010-03-04 00:00:00,2010-03-04 17:25:40,https://www.sec.gov/Archives/edgar/data/77476/000129993310000952/htm_36623.htm,https://www.sec.gov/Archives/edgar/data/77476/000129993310000952/0001299933-10-000952-index.html,2010-02-26 00:00:00
0001181431-10-005760,AWR,1056903,4,2010-02-01 00:00:00,2010-02-01 21:12:18,https://www.sec.gov/Archives/edgar/data/1056903/000118143110005760/rrd264539.xml,https://www.sec.gov/Archives/edgar/data/1056903/000118143110005760/0001181431-10-005760-index.html,2010-01-30 00:00:00
0000910472-10-000155,,1314414,N-Q,2010-03-01 00:00:00,2010-03-01 15:55:03,https://www.sec.gov/Archives/edgar/data/1314414/000091047210000155/formnq.htm,https://www.sec.gov/Archives/edgar/data/1314414/000091047210000155/0000910472-10-000155-index.html,2009-12-31 00:00:00
0001210052-10-000004,,1210052,4/A,2010-01-13 00:00:00,2010-01-13 12:10:14,https://www.sec.gov/Archives/edgar/data/1210052/000121005210000004/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1210052/000121005210000004/0001210052-10-000004-index.html,2009-12-08 00:00:00
0000000000-10-011621,GILT,897322,UPLOAD,2010-03-02 00:00:00,2010-03-02 09:02:49,https://www.sec.gov/Archives/edgar/data/897322/000000000010011621/filename1.pdf,https://www.sec.gov/Archives/edgar/data/897322/000000000010011621/0000000000-10-011621-index.html,
0000950123-10-030820,,820237,DEF 14A,2010-03-31 00:00:00,2010-03-31 16:06:04,https://www.sec.gov/Archives/edgar/data/820237/000095012310030820/a55541dedef14a.htm,https://www.sec.gov/Archives/edgar/data/820237/000095012310030820/0000950123-10-030820-index.html,2010-05-13 00:00:00
0001225208-10-004082,,1196205,4,2010-02-11 00:00:00,2010-02-11 16:35:36,https://www.sec.gov/Archives/edgar/data/1196205/000122520810004082/doc4.xml,https://www.sec.gov/Archives/edgar/data/1196205/000122520810004082/0001225208-10-004082-index.html,2010-02-10 00:00:00
0001209191-10-008096,,1393909,4,2010-02-10 00:00:00,2010-02-10 15:09:36,https://www.sec.gov/Archives/edgar/data/1393909/000120919110008096/doc4.xml,https://www.sec.gov/Archives/edgar/data/1393909/000120919110008096/0001209191-10-008096-index.html,2010-02-08 00:00:00
0000950123-10-013388,EZPW,876523,8-K,2010-02-16 00:00:00,2010-02-16 17:13:19,https://www.sec.gov/Archives/edgar/data/876523/000095012310013388/d71062e8vk.htm,https://www.sec.gov/Archives/edgar/data/876523/000095012310013388/0000950123-10-013388-index.html,2010-02-11 00:00:00
0001104659-10-015207,,1165880,PRE 14A,2010-03-18 00:00:00,2010-03-18 16:18:37,https://www.sec.gov/Archives/edgar/data/1165880/000110465910015207/a09-36490_1pre14a.htm,https://www.sec.gov/Archives/edgar/data/1165880/000110465910015207/0001104659-10-015207-index.html,2010-05-19 00:00:00
0001086364-10-007037,BLK,1364742,SC 13G,2010-01-29 00:00:00,2010-01-29 14:13:34,https://www.sec.gov/Archives/edgar/data/1364742/000108636410007037/avonproducts123109.txt,https://www.sec.gov/Archives/edgar/data/1364742/000108636410007037/0001086364-10-007037-index.html,
0001416350-10-000002,,1380776,D/A,2010-03-09 00:00:00,2010-03-09 13:09:56,https://www.sec.gov/Archives/edgar/data/1380776/000141635010000002/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1380776/000141635010000002/0001416350-10-000002-index.html,
0001144204-10-009886,BMA,1347426,6-K,2010-02-25 00:00:00,2010-02-25 14:56:57,https://www.sec.gov/Archives/edgar/data/1347426/000114420410009886/v175433_6k.htm,https://www.sec.gov/Archives/edgar/data/1347426/000114420410009886/0001144204-10-009886-index.html,2010-02-25 00:00:00
0001179110-10-005583,INVE,1036044,4/A,2010-03-18 00:00:00,2010-03-18 10:12:45,https://www.sec.gov/Archives/edgar/data/1036044/000117911010005583/edgar.xml,https://www.sec.gov/Archives/edgar/data/1036044/000117911010005583/0001179110-10-005583-index.html,2010-03-15 00:00:00
0000072333-10-000047,,1183470,4/A,2010-03-15 00:00:00,2010-03-15 15:29:45,https://www.sec.gov/Archives/edgar/data/1183470/000007233310000047/edgar.xml,https://www.sec.gov/Archives/edgar/data/1183470/000007233310000047/0000072333-10-000047-index.html,2010-02-26 00:00:00
0000914121-10-000679,BAC,70858,SC 13G/A,2010-03-12 00:00:00,2010-03-12 10:48:27,https://www.sec.gov/Archives/edgar/data/70858/000091412110000679/ba18150251-13ga.txt,https://www.sec.gov/Archives/edgar/data/70858/000091412110000679/0000914121-10-000679-index.html,
0000950123-10-001940,HOV,357294,424B3,2010-01-12 00:00:00,2010-01-12 13:08:48,https://www.sec.gov/Archives/edgar/data/357294/000095012310001940/y80797b3e424b3.htm,https://www.sec.gov/Archives/edgar/data/357294/000095012310001940/0000950123-10-001940-index.html,
0001445546-10-000817,,1461529,497,2010-02-03 00:00:00,2010-02-03 12:41:24,https://www.sec.gov/Archives/edgar/data/1461529/000144554610000817/c497.txt,https://www.sec.gov/Archives/edgar/data/1461529/000144554610000817/0001445546-10-000817-index.html,
0001077771-10-000018,UMPQ,1077771,4,2010-02-02 00:00:00,2010-02-02 18:36:09,https://www.sec.gov/Archives/edgar/data/1077771/000107777110000018/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1077771/000107777110000018/0001077771-10-000018-index.html,2010-01-29 00:00:00
9999999997-10-007551,,314774,X-17A-5/A,2010-03-25 00:00:00,2010-03-29 11:33:46,https://www.sec.gov/Archives/edgar/data/314774/999999999710007551/9999999997-10-007551.paper,https://www.sec.gov/Archives/edgar/data/314774/999999999710007551/9999999997-10-007551-index.html,2009-12-31 00:00:00
0001144204-10-012551,,49615,8-K,2010-03-10 00:00:00,2010-03-10 16:38:04,https://www.sec.gov/Archives/edgar/data/49615/000114420410012551/v176892_8k.htm,https://www.sec.gov/Archives/edgar/data/49615/000114420410012551/0001144204-10-012551-index.html,2010-03-10 00:00:00
0001160740-10-000002,,1160740,D,2010-02-24 00:00:00,2010-02-24 13:37:28,https://www.sec.gov/Archives/edgar/data/1160740/000116074010000002/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1160740/000116074010000002/0001160740-10-000002-index.html,
0001078782-10-000498,,13055,8-K,2010-03-17 00:00:00,2010-03-16 19:56:59,https://www.sec.gov/Archives/edgar/data/13055/000107878210000498/lbg8k031610.htm,https://www.sec.gov/Archives/edgar/data/13055/000107878210000498/0001078782-10-000498-index.html,2010-03-16 00:00:00
0000914317-10-000059,NRT,72633,DEFA14A,2010-01-13 00:00:00,2010-01-13 10:43:52,https://www.sec.gov/Archives/edgar/data/72633/000091431710000059/defa14a-104789_neort.htm,https://www.sec.gov/Archives/edgar/data/72633/000091431710000059/0000914317-10-000059-index.html,
0000950103-10-000917,UGP,1094972,6-K,2010-03-30 00:00:00,2010-03-30 08:34:45,https://www.sec.gov/Archives/edgar/data/1094972/000095010310000917/dp17050_6k.htm,https://www.sec.gov/Archives/edgar/data/1094972/000095010310000917/0000950103-10-000917-index.html,2010-03-29 00:00:00
0000920527-10-000015,,1101904,4,2010-02-09 00:00:00,2010-02-09 15:06:29,https://www.sec.gov/Archives/edgar/data/1101904/000092052710000015/edgar.xml,https://www.sec.gov/Archives/edgar/data/1101904/000092052710000015/0000920527-10-000015-index.html,2010-02-09 00:00:00
0001225208-10-006902,,1347941,4,2010-03-03 00:00:00,2010-03-03 17:59:43,https://www.sec.gov/Archives/edgar/data/1347941/000122520810006902/doc4.xml,https://www.sec.gov/Archives/edgar/data/1347941/000122520810006902/0001225208-10-006902-index.html,2010-03-01 00:00:00
0001144204-10-000568,MSM,1003078,4,2010-01-06 00:00:00,2010-01-06 10:23:59,https://www.sec.gov/Archives/edgar/data/1003078/000114420410000568/v170639_ex.xml,https://www.sec.gov/Archives/edgar/data/1003078/000114420410000568/0001144204-10-000568-index.html,2010-01-04 00:00:00
0001213900-10-001108,,1409885,D,2010-03-30 00:00:00,2010-03-30 15:46:11,https://www.sec.gov/Archives/edgar/data/1409885/000121390010001108/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1409885/000121390010001108/0001213900-10-001108-index.html,
0001212793-10-000003,,1212793,D/A,2010-03-10 00:00:00,2010-03-10 14:07:38,https://www.sec.gov/Archives/edgar/data/1212793/000121279310000003/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1212793/000121279310000003/0001212793-10-000003-index.html,
0001140361-10-013505,,1356132,D/A,2010-03-24 00:00:00,2010-03-24 17:28:41,https://www.sec.gov/Archives/edgar/data/1356132/000114036110013505/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1356132/000114036110013505/0001140361-10-013505-index.html,
0001458378-10-000001,,1458378,D,2010-01-06 00:00:00,2010-01-06 16:47:21,https://www.sec.gov/Archives/edgar/data/1458378/000145837810000001/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1458378/000145837810000001/0001458378-10-000001-index.html,
0001179110-10-002088,,1207712,4,2010-02-04 00:00:00,2010-02-04 16:37:59,https://www.sec.gov/Archives/edgar/data/1207712/000117911010002088/edgar.xml,https://www.sec.gov/Archives/edgar/data/1207712/000117911010002088/0001179110-10-002088-index.html,2010-02-01 00:00:00
0001279176-10-000010,,1279176,CORRESP,2010-02-10 00:00:00,2010-02-10 16:00:09,https://www.sec.gov/Archives/edgar/data/1279176/000127917610000010/filename1.htm,https://www.sec.gov/Archives/edgar/data/1279176/000127917610000010/0001279176-10-000010-index.html,
9999999997-10-002082,,1367624,X-17A-5,2010-02-23 00:00:00,2010-03-02 19:01:09,https://www.sec.gov/Archives/edgar/data/1367624/999999999710002082/9999999997-10-002082.paper,https://www.sec.gov/Archives/edgar/data/1367624/999999999710002082/9999999997-10-002082-index.html,2009-12-31 00:00:00
0001225208-10-003238,,1394676,4,2010-02-02 00:00:00,2010-02-02 19:24:07,https://www.sec.gov/Archives/edgar/data/1394676/000122520810003238/doc4.xml,https://www.sec.gov/Archives/edgar/data/1394676/000122520810003238/0001225208-10-003238-index.html,2010-01-31 00:00:00
9999999997-10-006991,LPX,60519,CT ORDER,2010-03-23 00:00:00,2010-03-23 14:42:30,https://www.sec.gov/Archives/edgar/data/60519/999999999710006991/filename1.pdf,https://www.sec.gov/Archives/edgar/data/60519/999999999710006991/9999999997-10-006991-index.html,
9999999997-10-003325,,948395,X-17A-5,2010-02-25 00:00:00,2010-03-08 08:02:32,https://www.sec.gov/Archives/edgar/data/948395/999999999710003325/9999999997-10-003325.paper,https://www.sec.gov/Archives/edgar/data/948395/999999999710003325/9999999997-10-003325-index.html,2009-12-31 00:00:00
0001193125-10-008814,JKS,1481513,F-1,2010-01-20 00:00:00,2010-01-20 15:49:08,https://www.sec.gov/Archives/edgar/data/1481513/000119312510008814/df1.htm,https://www.sec.gov/Archives/edgar/data/1481513/000119312510008814/0001193125-10-008814-index.html,
0000019617-10-000174,,1199074,144,2010-03-24 00:00:00,2010-03-24 13:20:43,https://www.sec.gov/Archives/edgar/data/1199074/000001961710000174/jaym144.htm,https://www.sec.gov/Archives/edgar/data/1199074/000001961710000174/0000019617-10-000174-index.html,
0001140361-10-012551,,1230009,4,2010-03-17 00:00:00,2010-03-17 14:34:03,https://www.sec.gov/Archives/edgar/data/1230009/000114036110012551/doc1.xml,https://www.sec.gov/Archives/edgar/data/1230009/000114036110012551/0001140361-10-012551-index.html,2010-03-11 00:00:00
0001209191-10-002481,,1340794,4,2010-01-08 00:00:00,2010-01-08 15:32:57,https://www.sec.gov/Archives/edgar/data/1340794/000120919110002481/doc4.xml,https://www.sec.gov/Archives/edgar/data/1340794/000120919110002481/0001209191-10-002481-index.html,2010-01-06 00:00:00
0001339163-10-000003,,1078119,4,2010-03-29 00:00:00,2010-03-29 12:46:19,https://www.sec.gov/Archives/edgar/data/1078119/000133916310000003/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1078119/000133916310000003/0001339163-10-000003-index.html,2010-03-29 00:00:00
0000950123-10-008546,,864328,DEFA14A,2010-02-04 00:00:00,2010-02-04 08:00:36,https://www.sec.gov/Archives/edgar/data/864328/000095012310008546/h69527de8vk.htm,https://www.sec.gov/Archives/edgar/data/864328/000095012310008546/0000950123-10-008546-index.html,
0001209191-10-018341,HLF,1180262,4,2010-03-23 00:00:00,2010-03-23 15:09:15,https://www.sec.gov/Archives/edgar/data/1180262/000120919110018341/doc4.xml,https://www.sec.gov/Archives/edgar/data/1180262/000120919110018341/0001209191-10-018341-index.html,2010-03-19 00:00:00
0001193125-10-048007,RNST,715072,8-K,2010-03-04 00:00:00,2010-03-04 17:13:42,https://www.sec.gov/Archives/edgar/data/715072/000119312510048007/d8k.htm,https://www.sec.gov/Archives/edgar/data/715072/000119312510048007/0001193125-10-048007-index.html,2010-03-04 00:00:00
0001104506-10-000003,INSM,1104506,8-K,2010-03-15 00:00:00,2010-03-15 07:30:04,https://www.sec.gov/Archives/edgar/data/1104506/000110450610000003/i8-k.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450610000003/0001104506-10-000003-index.html,2010-03-15 00:00:00
0001197453-10-000067,ENTG,1101302,4/A,2010-03-11 00:00:00,2010-03-11 14:21:06,https://www.sec.gov/Archives/edgar/data/1101302/000119745310000067/edgar.xml,https://www.sec.gov/Archives/edgar/data/1101302/000119745310000067/0001197453-10-000067-index.html,2010-01-04 00:00:00
0001193125-10-073619,,1432150,10-K,2010-03-31 00:00:00,2010-03-31 17:12:25,https://www.sec.gov/Archives/edgar/data/1432150/000119312510073619/d10k.htm,https://www.sec.gov/Archives/edgar/data/1432150/000119312510073619/0001193125-10-073619-index.html,2009-12-31 00:00:00
0001181431-10-003287,,1297401,4,2010-01-15 00:00:00,2010-01-15 18:06:09,https://www.sec.gov/Archives/edgar/data/1297401/000118143110003287/rrd263021.xml,https://www.sec.gov/Archives/edgar/data/1297401/000118143110003287/0001181431-10-003287-index.html,2010-01-13 00:00:00
0001463252-10-000007,,1444731,4,2010-03-08 00:00:00,2010-03-08 16:18:02,https://www.sec.gov/Archives/edgar/data/1444731/000146325210000007/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1444731/000146325210000007/0001463252-10-000007-index.html,2010-03-04 00:00:00
0001179110-10-005630,EBTC,1018399,4,2010-03-18 00:00:00,2010-03-18 16:08:31,https://www.sec.gov/Archives/edgar/data/1018399/000117911010005630/edgar.xml,https://www.sec.gov/Archives/edgar/data/1018399/000117911010005630/0001179110-10-005630-index.html,2010-03-16 00:00:00
9999999997-10-012161,,880290,X-17A-5/A,2010-03-01 00:00:00,2010-05-27 15:58:47,https://www.sec.gov/Archives/edgar/data/880290/999999999710012161/9999999997-10-012161.paper,https://www.sec.gov/Archives/edgar/data/880290/999999999710012161/9999999997-10-012161-index.html,2009-12-31 00:00:00
0001188112-10-000814,,1021330,24F-2NT,2010-03-31 00:00:00,2010-03-31 14:07:22,https://www.sec.gov/Archives/edgar/data/1021330/000118811210000814/t67571al_24f-2nt.htm,https://www.sec.gov/Archives/edgar/data/1021330/000118811210000814/0001188112-10-000814-index.html,2009-12-31 00:00:00
0000769993-10-000125,,1229262,SC 13G/A,2010-02-12 00:00:00,2010-02-12 11:55:42,https://www.sec.gov/Archives/edgar/data/1229262/000076999310000125/amphenolcorp1gsam.txt,https://www.sec.gov/Archives/edgar/data/1229262/000076999310000125/0000769993-10-000125-index.html,
9999999997-10-004906,,1294193,X-17A-5,2010-03-01 00:00:00,2010-03-12 08:05:23,https://www.sec.gov/Archives/edgar/data/1294193/999999999710004906/9999999997-10-004906.paper,https://www.sec.gov/Archives/edgar/data/1294193/999999999710004906/9999999997-10-004906-index.html,2009-12-31 00:00:00
0001104659-10-016708,,787623,N-Q,2010-03-26 00:00:00,2010-03-26 15:01:50,https://www.sec.gov/Archives/edgar/data/787623/000110465910016708/a10-2909_1nq.htm,https://www.sec.gov/Archives/edgar/data/787623/000110465910016708/0001104659-10-016708-index.html,2010-01-31 00:00:00
0001054819-10-000006,,1054819,24F-2NT,2010-03-30 00:00:00,2010-03-30 15:37:18,https://www.sec.gov/Archives/edgar/data/1054819/000105481910000006/etvl.txt,https://www.sec.gov/Archives/edgar/data/1054819/000105481910000006/0001054819-10-000006-index.html,2009-12-31 00:00:00
0001193125-10-057931,,1016809,N-30D,2010-03-16 00:00:00,2010-03-16 11:29:52,https://www.sec.gov/Archives/edgar/data/1016809/000119312510057931/dn30d.htm,https://www.sec.gov/Archives/edgar/data/1016809/000119312510057931/0001193125-10-057931-index.html,2009-12-31 00:00:00
0001181431-10-005192,,1207737,4,2010-01-28 00:00:00,2010-01-28 16:57:03,https://www.sec.gov/Archives/edgar/data/1119967/000118143110005192/rrd264202.xml,https://www.sec.gov/Archives/edgar/data/1119967/000118143110005192/0001181431-10-005192-index.html,2010-01-26 00:00:00
0001193125-10-009770,,820738,DEF 14A,2010-01-21 00:00:00,2010-01-21 16:30:34,https://www.sec.gov/Archives/edgar/data/820738/000119312510009770/ddef14a.htm,https://www.sec.gov/Archives/edgar/data/820738/000119312510009770/0001193125-10-009770-index.html,2010-02-24 00:00:00
0001357400-10-000056,,1212866,4/A,2010-03-03 00:00:00,2010-03-03 18:04:17,https://www.sec.gov/Archives/edgar/data/1212866/000135740010000056/f4aformmh.xml,https://www.sec.gov/Archives/edgar/data/1212866/000135740010000056/0001357400-10-000056-index.html,2010-01-15 00:00:00
0000919574-10-001528,,1056831,SC 13G/A,2010-02-16 00:00:00,2010-02-16 15:25:01,https://www.sec.gov/Archives/edgar/data/1056831/000091957410001528/d1070185_13g-a.txt,https://www.sec.gov/Archives/edgar/data/1056831/000091957410001528/0000919574-10-001528-index.html,
0001019056-10-000073,SA,1231346,SC 13D/A,2010-01-22 00:00:00,2010-01-22 13:05:31,https://www.sec.gov/Archives/edgar/data/1231346/000101905610000073/seabridge_13d.htm,https://www.sec.gov/Archives/edgar/data/1231346/000101905610000073/0001019056-10-000073-index.html,
0000924211-10-000034,,924211,497,2010-03-31 00:00:00,2010-03-31 13:17:27,https://www.sec.gov/Archives/edgar/data/924211/000092421110000034/supp.htm,https://www.sec.gov/Archives/edgar/data/924211/000092421110000034/0000924211-10-000034-index.html,
0000950123-10-007807,DEN,945764,S-3ASR,2010-02-02 00:00:00,2010-02-02 17:25:54,https://www.sec.gov/Archives/edgar/data/945764/000095012310007807/h69485sv3asr.htm,https://www.sec.gov/Archives/edgar/data/945764/000095012310007807/0000950123-10-007807-index.html,
0001104659-10-007671,,1345061,4,2010-02-17 00:00:00,2010-02-17 21:20:17,https://www.sec.gov/Archives/edgar/data/1345061/000110465910007671/a4.xml,https://www.sec.gov/Archives/edgar/data/1345061/000110465910007671/0001104659-10-007671-index.html,2010-02-12 00:00:00
0000876661-10-000042,,1169027,25-NSE,2010-02-04 00:00:00,2010-02-04 11:37:39,https://www.sec.gov/Archives/edgar/data/1169027/000087666110000042/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1169027/000087666110000042/0000876661-10-000042-index.html,
9999999997-10-006971,,1009304,NO ACT,2010-03-08 00:00:00,2010-03-23 17:10:42,https://www.sec.gov/Archives/edgar/data/1009304/999999999710006971/9999999997-10-006971.paper,https://www.sec.gov/Archives/edgar/data/1009304/999999999710006971/9999999997-10-006971-index.html,2010-03-01 00:00:00
0000000000-10-016102,AGO,1273813,UPLOAD,2010-03-24 00:00:00,2010-03-24 11:22:20,https://www.sec.gov/Archives/edgar/data/1273813/000000000010016102/filename1.pdf,https://www.sec.gov/Archives/edgar/data/1273813/000000000010016102/0000000000-10-016102-index.html,
9999999997-10-001179,,1020791,SUPPL,2010-02-19 00:00:00,2010-02-23 09:17:49,https://www.sec.gov/Archives/edgar/data/1020791/999999999710001179/9999999997-10-001179.paper,https://www.sec.gov/Archives/edgar/data/1020791/999999999710001179/9999999997-10-001179-index.html,
0001137774-10-000048,IRWD,1446847,SC 13G,2010-03-10 00:00:00,2010-03-10 11:40:44,https://www.sec.gov/Archives/edgar/data/1137774/000113777410000048/iron.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777410000048/0001137774-10-000048-index.html,
